Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Assessment Class 1
1113380,,15411,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,1160000,53.50473161,-113.5870728,RESIDENTIAL
1071380,,212,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1738000,53.44717463,-113.6227325,RESIDENTIAL
1070754,,18104,8 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1541000,53.42638087,-113.6343353,RESIDENTIAL
1067347,,1111,23 AVENUE NW,Y,6445,ASTER,Ward 12,1326000,53.45027274,-113.3596696,RESIDENTIAL
1069525,,10812,5 AVENUE SW,Y,5451,RICHFORD,Ward 10,2016000,53.42820275,-113.5090191,RESIDENTIAL
1023050,,191,WOLF WILLOW CRESCENT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1052000,53.50236604,-113.5936322,RESIDENTIAL
1070978,,101,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1375000,53.45066985,-113.6155667,RESIDENTIAL
1100528,,16903,MERIDIAN STREET NE,Y,2690,RURAL NORTH EAST SOUTH STURGEON,Ward 4,2001500,53.63164081,-113.3379721,RESIDENTIAL
1071208,,132,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1053000,53.44194445,-113.6291076,RESIDENTIAL
1274752,,2403,ELLERSLIE ROAD SW,Y,6663,DECOTEAU,Ward 12,1093500,53.42208007,-113.3790145,RESIDENTIAL
1022953,,181,WOLF WILLOW CRESCENT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1081000,53.50153172,-113.594039,RESIDENTIAL
1115443,,128,RIVER VIEW WAY SW,Y,4463,RIVERVIEW AREA,Ward 5,1149000,53.43025904,-113.6676199,RESIDENTIAL
1115617,,4404,211 STREET NW,Y,4462,EDGEMONT,Ward 5,2206000,53.48090213,-113.685802,RESIDENTIAL
1071430,,236,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,2001000,53.4488838,-113.620466,RESIDENTIAL
1071158,,112,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1888000,53.44101622,-113.6318774,RESIDENTIAL
1003136,,26,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,1838500,53.47965938,-113.63726,RESIDENTIAL
1099498,,14707,17 STREET NE,Y,2690,RURAL NORTH EAST SOUTH STURGEON,Ward 4,1411500,53.60988616,-113.3185086,RESIDENTIAL
1113836,,15103,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,1611500,53.5059686,-113.5816653,RESIDENTIAL
1071661,,144,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1425500,53.45312343,-113.616382,RESIDENTIAL
1113190,,15505,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,1122000,53.50407353,-113.589072,RESIDENTIAL
1071356,,200,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1592000,53.44614221,-113.6230442,RESIDENTIAL
1109883,,20821,5 AVENUE SW,Y,4463,RIVERVIEW AREA,Ward 5,1188000,53.42824185,-113.6817132,RESIDENTIAL
1213073,,11826,100 AVENUE NW,N,1150,OLIVER,Ward 6,2172000,53.53994991,-113.5262926,RESIDENTIAL
1275478,,10348,CONNAUGHT DRIVE NW,Y,3200,GLENORA,Ward 1,1295500,53.54541328,-113.5449157,RESIDENTIAL
1069921,,3245,170 STREET SW,N,5579,GLENRIDDING RAVINE,Ward 9,12335500,53.40417388,-113.6109438,RESIDENTIAL
1070150,,1704,170 STREET SW,N,5576,KESWICK AREA,Ward 5,15540500,53.41395609,-113.6222999,RESIDENTIAL
1070622,,411,181 STREET SW,N,5570,WINDERMERE,Ward 9,2448500,53.42727874,-113.6321397,RESIDENTIAL
1074079,,6610,8 STREET NW,Y,6410,MAPLE RIDGE,Ward 11,1098000,53.50318913,-113.3556219,RESIDENTIAL
1070994,,109,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1198000,53.45117613,-113.6165192,RESIDENTIAL
1087147,,3,ALEXANDER CIRCLE NW,Y,3200,GLENORA,Ward 1,1301000,53.54498913,-113.5503788,RESIDENTIAL
1071307,,176,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1185000,53.44436275,-113.6244053,RESIDENTIAL
1110212,,3211,199 STREET NW,Y,4464,THE UPLANDS,Ward 5,2358000,53.4642555,-113.661085,RESIDENTIAL
1002716,,33,WEDGEWOOD CRESCENT NW,Y,4570,WEDGEWOOD HEIGHTS,Ward 5,2561500,53.48012032,-113.6403677,RESIDENTIAL
1069186,,330,78 STREET SW,Y,6211,ELLERSLIE,Ward 12,1257000,53.42952572,-113.4540952,RESIDENTIAL
1113448,,15407,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,1375000,53.50495389,-113.586388,RESIDENTIAL
1129063,,103,199 STREET SW,Y,4463,RIVERVIEW AREA,Ward 5,1313000,53.43125676,-113.6621079,RESIDENTIAL
1070655,,18116,4 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1762500,53.42947444,-113.6350993,RESIDENTIAL
1067727,,2711,101 STREET SW,N,6216,THE ORCHARDS AT ELLERSLIE,Ward 12,12125000,53.40732513,-113.4816667,RESIDENTIAL
1115401,,112,RIVER VIEW WAY SW,Y,4463,RIVERVIEW AREA,Ward 5,1558000,53.43101027,-113.6663281,RESIDENTIAL
1071471,,256,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,4394000,53.44908063,-113.6173783,RESIDENTIAL
1002567,,11,WEDGEWOOD CRESCENT NW,Y,4570,WEDGEWOOD HEIGHTS,Ward 5,2250500,53.4812164,-113.6410412,RESIDENTIAL
1003011,,22,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,3527000,53.47978131,-113.6345134,RESIDENTIAL
1103746,,23980,18 STREET NW,N,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Ward 4,1348500,53.69880849,-113.3749107,RESIDENTIAL
1072339,,3640,MERIDIAN STREET NW,N,6441,MAPLE,Ward 11,7173500,53.47034844,-113.3472943,RESIDENTIAL
1071620,,128,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1470500,53.45169263,-113.6178566,RESIDENTIAL
1070341,,13506,28 AVENUE SW,Y,5469,PAISLEY,Ward 9,14234500,53.41202308,-113.5548326,RESIDENTIAL
1069640,,40,BLACKBURN DRIVE WEST SW,Y,5590,BLACKBURNE,Ward 12,1682000,53.43022424,-113.5138649,RESIDENTIAL
1069418,,441,111 STREET SW,Y,5451,RICHFORD,Ward 10,1222000,53.42868474,-113.5159246,RESIDENTIAL
1069905,,2820,156 STREET SW,N,5462,CHAPPELLE AREA,Ward 10,1066000,53.4083015,-113.5929313,RESIDENTIAL
1071679,,148,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,3590000,53.45350391,-113.6159386,RESIDENTIAL
1068998,,6730,6 AVENUE SW,Y,6211,ELLERSLIE,Ward 12,1082500,53.42787486,-113.4439458,RESIDENTIAL
1100890,,17907,MANNING DRIVE NW,N,2670,RURAL NORTH EAST HORSE HILL,Ward 4,1549500,53.63956706,-113.3842765,RESIDENTIAL
1071570,,108,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1150000,53.45005094,-113.6166187,RESIDENTIAL
1022052,,5,WOLF WILLOW POINT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1108000,53.50069264,-113.5956918,RESIDENTIAL
1114156,,13104,WINTERBURN ROAD NW,N,4473,HAWKS RIDGE,Ward 1,7607500,53.58997447,-113.6918276,RESIDENTIAL
1071349,,196,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1141500,53.44585112,-113.6233484,RESIDENTIAL
1070697,,18103,4 AVENUE SW,Y,5570,WINDERMERE,Ward 9,2037500,53.42849495,-113.6336324,RESIDENTIAL
1070630,,18104,4 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1641500,53.42963169,-113.6336284,RESIDENTIAL
1002831,,16,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,3638000,53.48080046,-113.6379536,RESIDENTIAL
1016062,,27,WOLF CRESCENT NW,Y,4610,WESTRIDGE,Ward 5,1294500,53.5050819,-113.5969004,RESIDENTIAL
1110824,,3131,GRANVILLE DRIVE NW,N,4551,GRANVILLE,Ward 1,2512500,53.50541008,-113.6796502,RESIDENTIAL
1067602,,3611,66 STREET SW,Y,6667,MATTSON,Ward 12,1939500,53.39824309,-113.4382533,RESIDENTIAL
1113505,,15317,RIO TERRACE DRIVE NW,N,4430,RIO TERRACE,Ward 5,1230000,53.50517841,-113.5857031,RESIDENTIAL
